ResumeID,Age,EducationLevel,FieldOfStudy,Domain,JobAppliedFor,SkillsListed,JobPostingSkillsRequired,ExperienceYears,Certifications,Shortlisted,Hired,AI_MatchScore,TopSkillGap,ResumeStyle,GenZ_Trait_Tags
R001,24,Master's,Life Sciences,Finance,Risk Analyst,"SEO, SQL, Research, Clinical Trials, Excel","SEO, Research, SQL, Excel, Clinical Trials",1.1,"Coursera SQL, Meta Ads",0,1,85,None,Infographic,"Trend-savvy, Fast Learner"
R002,25,Master's,Computer Science,Design,UX Designer,"Clinical Trials, Medical Writing, Figma","Webflow, Figma, Clinical Trials, CSS, Medical Writing",0.9,"None, Coursera SQL",1,0,65,Webflow,Visual,"Curious, Fast Learner"
R003,21,Master's,Business,Design,UX Designer,"Webflow, Tailwind","Python, Tailwind, Webflow, Research, Tableau",1.7,"Coursera SQL, None",0,1,55,Tableau,Visual,"Curious, Fast Learner"
R004,26,Master's,Computer Science,Design,Product Designer,"Google Ads, SEO","Research, PubMed, SEO, GitHub, Google Ads",2.8,"Google UX Cert, Google Data Analytics",1,0,60,PubMed,Infographic,"Fast Learner, Curious"
R005,26,Bachelor's,Design,Design,Product Designer,"SQL, React","Canva, SQL, React, SEO, Python",1.2,"Google UX Cert, None",1,1,77,SEO,Minimalist,"Digital Native, Side Hustler"
R006,25,Bachelor's,Design,Design,Product Designer,"React, SQL","SEO, SQL, GitHub, Canva, React",2.0,"Google UX Cert, None",0,0,69,SEO,ATS-friendly,"Data-curious, Digital Native"
R007,22,Master's,Life Sciences,Finance,Risk Analyst,"Photoshop, SQL, React, Excel, Google Ads","Photoshop, Google Ads, SQL, React, Excel",1.5,"Google UX Cert, None",1,1,89,None,Minimalist,"Multi-tasker, Remote-ready"
R008,25,Master's,Design,Business,Business Analyst,"SQL, Excel, CSS","SQL, Excel, CSS, SEO, SQL",0.6,"Google Data Analytics, Google UX Cert",1,1,82,SEO,ATS-friendly,"Side Hustler, Multi-tasker"
R009,24,Master's,Business,Design,Product Designer,"JavaScript, PubMed, Research, Figma, Clinical Trials","JavaScript, Clinical Trials, Research, Figma, PubMed",1.7,"None, Google UX Cert",0,0,71,None,ATS-friendly,"Remote-ready, Trend-savvy"
R010,22,Master's,Design,Technology,Data Analyst,"Figma, Medical Writing, Tableau","Canva, Tableau, Medical Writing, Excel, Figma",1.6,"Coursera SQL, None",0,0,54,Canva,ATS-friendly,"Fast Learner, Side Hustler"
R011,23,Master's,Design,Finance,Financial Analyst,"Excel, SQL, Finance Modelling","Excel, SQL, Tableau, Finance Modelling, Python",1.3,"Google Data Analytics, Coursera SQL",1,1,85,Tableau,Visual,"Trend-savvy, Fast Learner"
R012,26,Master's,Life Sciences,Technology,Frontend Developer,"CSS, GitHub, Tailwind, React, JavaScript","HTML, CSS, JavaScript, React, Tailwind, GitHub",1.0,"Coursera SQL, None",0,0,68,HTML,Minimalist,"Trend-savvy, Remote-ready"
R013,22,Master's,Computer Science,Design,UX Designer,"GitHub, Clinical Trials, CSS","CSS, GitHub, Clinical Trials, React, Illustrator",2.2,"Meta Ads, None",1,0,73,Illustrator,ATS-friendly,"Fast Learner, Curious"
R014,24,Bachelor's,Computer Science,Business,Sales Associate,"Tableau, Excel","Medical Writing, PubMed, GitHub, Excel, Tableau",2.0,"Google UX Cert, Google Data Analytics",0,1,83,PubMed,Infographic,"Curious, Multi-tasker"
R015,25,Master's,Life Sciences,Business,Sales Associate,"Clinical Trials, Tableau, Finance Modelling, SQL","SQL, Finance Modelling, Tableau, Clinical Trials, Medical Writing",1.1,"Meta Ads, Coursera SQL",0,1,92,Medical Writing,Infographic,"Multi-tasker, Side Hustler"
